player_sk,version,Season,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Goals.1,Assists.1,Goals + Assists.1,Non-Penalty Goals.1,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,xG.1,xAG.1,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",npxG.1,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Att,Att.1,Att.2,Att.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Tot,Prg,Cmp.4,Cmp.5,Cmp.6,Cmp.7,Att.4,Att.5,Att.6,Att.7,Cmp%.4,Cmp%.5,Cmp%.6,Cmp%.7,Cmp.8,Cmp.9,Cmp.10,Cmp.11,Att.8,Att.9,Att.10,Att.11,Cmp%.8,Cmp%.9,Cmp%.10,Cmp%.11,Cmp.12,Cmp.13,Cmp.14,Cmp.15,Att.12,Att.13,Att.14,Att.15,Cmp%.12,Cmp%.13,Cmp%.14,Cmp%.15,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,Tkl.1,TklW,Tkl.2,Tkl.3,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,TO.1,Fld,Fld.1,Def,Def.1,GCA,GCA90,TO.2,TO.3,Fld.2,Fld.3,Def.2,Def.3,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Launch%.1,Avg,Avg.1,Avg.2,Launch%.2,Launch%.3,Avg.3,Avg.4,Avg.5,Opp,Stp,Stp%,#OPA,#OPA/90,Avg.6,Avg.7,Avg.8,Player,Pos,Squad,Age,name,category,contract_thru,player,year_int,base_salary,compensation,goals_per_90,assists_per_90,xg_per_90,xg_overperformance,progressive_actions,defensive_actions,position_group,designation_tier,archetype,segment
8626234972,1,2025,5,4,303,3.4,0.88,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.24,0.24,0.18,0.41,1.76,2.35,8.82,0.89,0.0,0.89,0.89,0.89,0.24,0.17,0.41,0.24,0.41,3.4,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,214.4,40.6,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,16.5,10.6,4.41,0.29,23.5,13.8,5.88,0.29,70.0,76.6,75.0,100.0,0.0,0.09,-0.18,1.18,1.18,0.59,0.0,0.88,1.47,1.18,80.0,1.49,1.19,0.6,0.75,12.2,0.0,0.0,0.0,0.16,0.65,0.65,34.1,0.88,1.76,12.9,20.0,4.71,34.1,0.59,50.0,0.29,25.0,18.8,0.59,4.41,1.76,24.4,0.88,0.0,0.29,0.88,0.0,0.0,0.29,0.29,0.29,0.0,0.88,0.88,0.0,2.35,2.4,0.0,0.0,0.29,0.29,0.0,0.0,0.59,0.6,0.0,0.0,0.29,0.29,0.0,0.0,0.0,1.76,1.18,0.29,0.0,0.0,0.29,0.29,0.0,0.0,3.24,0.59,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wessam Abou Ali,FW,Columbus Crew,26-334,,,,Wessam Abou Ali,2025.0,1800000.0,2157375.0,0.25882352941176473,0.0,0.07058823529411765,0.64,4.11,0.88,FW,Unknown,0,FW
7680390154,1,2025,6,1,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.18,0.55,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.58,0.44,0.58,1.1,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,278.2,40.9,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,0.0,0.36,-0.18,1.82,0.0,0.91,0.0,0.0,5.45,0.0,0.0,5.45,0.0,0.0,,14.6,0.0,0.0,0.0,0.08,-0.45,-0.45,34.5,0.91,3.64,10.0,21.8,10.0,34.5,0.0,,0.0,,18.2,0.0,6.36,2.73,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.91,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,Standard,2025,,,,,0.0,0.0,0.40909090909090906,-0.45,1.82,0.0,FW,Standard,0,FW
7680390154,2,2025,6,1,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.18,0.55,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.58,0.44,0.58,1.1,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,278.2,40.9,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,19.1,11.8,5.45,1.82,20.0,11.8,5.45,2.73,95.5,100.0,100.0,66.7,0.0,0.36,-0.18,1.82,0.0,0.91,0.0,0.0,5.45,0.0,0.0,5.45,0.0,0.0,,14.6,0.0,0.0,0.0,0.08,-0.45,-0.45,34.5,0.91,3.64,10.0,21.8,10.0,34.5,0.0,,0.0,,18.2,0.0,6.36,2.73,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.91,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,Standard,2025,,,,,0.0,0.0,0.40909090909090906,-0.45,1.82,0.0,FW,Standard,0,FW
7680390154,1,2025,22,12,1173,13.0,0.15,0.15,0.31,0.15,0.0,0.0,0.46,0.08,0.25,0.25,0.12,0.37,1.23,0.85,4.62,0.15,0.15,0.31,0.15,0.31,0.25,0.12,0.37,0.25,0.37,13.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,179.2,22.4,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,0.15,0.08,0.04,1.31,1.0,0.23,0.0,0.15,2.62,0.54,20.6,2.61,0.54,0.06,0.29,15.3,0.0,0.0,0.0,0.1,-0.1,-0.1,27.1,1.31,2.15,12.3,13.0,4.77,27.1,0.38,41.7,0.54,58.3,15.4,0.62,2.38,1.0,20.3,0.54,0.15,0.15,0.54,0.15,40.0,0.23,0.23,0.08,0.15,0.69,1.31,0.0,2.31,2.3,0.15,0.0,0.15,0.0,0.0,0.0,0.23,0.23,0.15,0.0,0.15,0.0,0.0,0.0,0.08,2.77,1.15,0.62,0.08,0.15,0.15,0.0,0.08,0.0,2.23,2.08,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,Standard,2025,,,,,0.011538461538461537,0.011538461538461537,0.019230769230769232,-0.1,2.08,0.6900000000000001,FW,Standard,0,FW
7680390154,2,2025,22,12,1173,13.0,0.15,0.15,0.31,0.15,0.0,0.0,0.46,0.08,0.25,0.25,0.12,0.37,1.23,0.85,4.62,0.15,0.15,0.31,0.15,0.31,0.25,0.12,0.37,0.25,0.37,13.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,179.2,22.4,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,13.5,7.46,4.23,0.54,17.8,9.46,5.23,0.54,76.2,78.9,80.9,100.0,0.15,0.08,0.04,1.31,1.0,0.23,0.0,0.15,2.62,0.54,20.6,2.61,0.54,0.06,0.29,15.3,0.0,0.0,0.0,0.1,-0.1,-0.1,27.1,1.31,2.15,12.3,13.0,4.77,27.1,0.38,41.7,0.54,58.3,15.4,0.62,2.38,1.0,20.3,0.54,0.15,0.15,0.54,0.15,40.0,0.23,0.23,0.08,0.15,0.69,1.31,0.0,2.31,2.3,0.15,0.0,0.15,0.0,0.0,0.0,0.23,0.23,0.15,0.0,0.15,0.0,0.0,0.0,0.08,2.77,1.15,0.62,0.08,0.15,0.15,0.0,0.08,0.0,2.23,2.08,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Agada,FW,Real Salt Lake,26-078,William Agada,Standard,2025,,,,,0.011538461538461537,0.011538461538461537,0.019230769230769232,-0.1,2.08,0.6900000000000001,FW,Standard,0,FW
9611782126,1,2025,16,15,1224,13.6,0.44,0.07,0.51,0.37,0.07,0.07,0.22,0.0,0.39,0.34,0.18,0.51,2.13,1.4,6.03,0.44,0.07,0.51,0.37,0.44,0.39,0.18,0.57,0.33,0.52,13.6,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,159.0,25.9,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,11.9,6.91,3.46,0.37,15.5,8.68,4.63,0.44,76.8,79.7,74.6,83.3,0.07,0.1,-0.11,1.4,0.74,0.44,0.0,0.44,2.5,1.18,47.1,2.5,1.18,0.15,0.31,14.9,0.0,0.07,0.07,0.13,0.05,0.03,27.1,1.18,1.76,12.1,13.8,5.74,27.1,1.03,36.8,1.4,50.0,17.8,1.69,2.87,1.62,20.5,0.44,0.15,0.29,0.44,0.15,40.0,0.22,0.37,0.37,0.15,0.59,1.1,0.0,2.87,2.87,0.22,0.07,0.66,0.22,0.0,0.0,0.37,0.37,0.22,0.07,0.66,0.22,0.0,0.0,0.0,1.84,2.57,0.51,0.07,0.15,0.29,0.07,0.0,0.0,1.62,1.4,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patrick Agyemang,FW,Charlotte,25-027,Patrick Agyemang,Standard,2025,,,,,0.03235294117647059,0.0051470588235294126,0.028676470588235296,0.04999999999999999,3.53,0.59,FW,Standard,0,FW
6784524469,2,2025,22,12,1288,14.3,0.0,0.56,0.56,0.0,0.0,0.0,0.14,0.0,0.15,0.15,0.34,0.49,5.38,5.59,15.7,0.0,0.56,0.56,0.0,0.56,0.15,0.34,0.49,0.15,0.49,14.3,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,582.6,152.9,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,38.7,22.7,13.1,2.03,48.0,25.8,15.6,3.01,80.6,88.1,84.3,67.4,0.56,0.38,0.22,2.59,2.52,2.87,0.77,0.0,1.75,0.63,36.0,1.75,0.63,0.0,0.0,16.5,0.0,0.0,0.0,0.08,-0.15,-0.15,59.4,0.98,4.76,19.0,36.4,7.06,59.4,1.47,44.7,1.61,48.9,38.7,3.29,2.38,1.26,46.9,1.19,0.7,0.7,1.19,0.7,47.6,0.77,1.19,1.19,0.42,1.61,0.77,0.0,5.52,5.52,0.35,0.07,0.28,0.21,0.07,0.0,1.12,1.12,0.35,0.07,0.28,0.21,0.07,0.0,0.0,0.7,1.75,0.21,3.08,0.42,0.7,0.07,0.0,0.0,3.15,0.77,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Ahmed,FW,Vancouver W'caps,25-055,Ali Ahmed,Standard,2025,Ali Ahmed,2025.0,150000.0,159375.0,0.0,0.039160839160839164,0.010489510489510488,-0.15,10.969999999999999,1.6099999999999999,FW,Standard,0,FW
4329338682,2,2025,6,3,259,2.9,0.34,0.0,0.34,0.34,0.0,0.0,0.69,0.0,0.21,0.21,0.03,0.24,0.34,0.34,5.17,0.35,0.0,0.35,0.35,0.35,0.22,0.03,0.25,0.22,0.25,2.9,6.9,3.45,2.41,0.0,8.97,4.83,2.41,0.0,76.9,71.4,100.0,,85.5,8.28,6.9,3.45,2.41,0.0,8.97,4.83,2.41,0.0,76.9,71.4,100.0,,6.9,3.45,2.41,0.0,8.97,4.83,2.41,0.0,76.9,71.4,100.0,,6.9,3.45,2.41,0.0,8.97,4.83,2.41,0.0,76.9,71.4,100.0,,0.0,0.0,-0.03,1.03,0.34,0.0,0.0,0.34,1.38,1.03,75.0,1.39,1.04,0.25,0.33,18.6,0.0,0.0,0.0,0.16,0.14,0.14,21.0,1.38,3.1,8.97,9.31,3.1,21.0,0.34,20.0,1.38,80.0,12.4,0.69,3.79,1.38,13.8,1.72,0.34,1.03,1.72,0.34,50.0,0.34,0.69,0.69,0.0,1.72,1.03,0.0,1.38,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,1.38,1.38,0.0,0.0,1.03,0.0,0.0,0.0,0.0,1.03,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forster Ajago,FW,Real Salt Lake,24-110,Forster Ajago,Standard,2025,Forster Ajago,2025.0,80622.0,80622.0,0.11724137931034484,0.0,0.07241379310344828,0.13000000000000003,0.68,1.72,FW,Standard,0,FW
7127390270,2,2025,3,1,100,1.1,0.91,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.91,2.73,6.36,0.9,0.0,0.9,0.9,0.9,0.07,0.0,0.07,0.07,0.07,1.1,7.27,4.55,1.82,0.91,13.6,8.18,3.64,1.82,53.3,55.6,50.0,50.0,103.6,41.8,7.27,4.55,1.82,0.91,13.6,8.18,3.64,1.82,53.3,55.6,50.0,50.0,7.27,4.55,1.82,0.91,13.6,8.18,3.64,1.82,53.3,55.6,50.0,50.0,7.27,4.55,1.82,0.91,13.6,8.18,3.64,1.82,53.3,55.6,50.0,50.0,0.0,0.0,0.0,0.0,2.73,0.91,0.0,0.91,0.91,0.91,100.0,0.9,0.9,1.0,1.0,15.1,0.0,0.0,0.0,0.08,0.82,0.82,26.4,0.91,3.64,12.7,10.9,2.73,26.4,0.91,25.0,2.73,75.0,16.4,0.91,2.73,1.82,22.7,0.91,0.0,0.0,0.91,0.0,0.0,0.91,0.0,0.0,0.0,0.91,1.82,0.0,0.91,0.9,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,2.73,2.73,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markus Anderson,FW,Philadelphia Union,21-358,Markus Anderson,Standard,2026,Markus Anderson,2025.0,120000.0,122000.0,0.8272727272727273,0.0,0.0818181818181818,0.8200000000000001,3.64,0.91,FW,Standard,0,FW
3982200228,2,2025,22,9,715,7.9,0.38,0.25,0.63,0.38,0.0,0.0,0.13,0.0,0.19,0.19,0.13,0.3,1.14,2.66,6.08,0.38,0.25,0.63,0.38,0.63,0.18,0.12,0.31,0.18,0.31,7.9,18.2,10.9,4.94,1.39,23.4,12.8,5.7,2.15,77.8,85.1,86.7,64.7,263.3,51.9,18.2,10.9,4.94,1.39,23.4,12.8,5.7,2.15,77.8,85.1,86.7,64.7,18.2,10.9,4.94,1.39,23.4,12.8,5.7,2.15,77.8,85.1,86.7,64.7,18.2,10.9,4.94,1.39,23.4,12.8,5.7,2.15,77.8,85.1,86.7,64.7,0.25,0.15,0.13,1.52,1.39,0.89,0.0,0.38,1.65,0.51,30.8,1.64,0.5,0.23,0.75,15.6,0.13,0.0,0.0,0.11,0.19,0.19,31.5,0.38,2.78,14.6,14.4,3.29,31.5,0.63,71.4,0.25,28.6,18.0,0.51,2.41,1.52,23.5,0.76,0.13,0.25,0.76,0.13,25.0,0.38,0.25,0.13,0.38,1.14,0.38,0.0,2.66,2.64,0.13,0.13,0.13,0.0,0.0,0.0,0.38,0.38,0.13,0.13,0.13,0.0,0.0,0.0,0.0,1.27,0.76,0.38,0.38,0.38,0.25,0.0,0.0,0.0,2.78,0.89,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomas Ángel,FW,San Diego FC,22-287,,,,,,,,0.04810126582278481,0.03164556962025316,0.024050632911392405,0.19,3.8,1.1400000000000001,FW,Unknown,0,FW
