year,club_short,last_name,first_name,position,base_salary,compensation,club_long,conference,designation,player
2023,ATL,Abram,Luis,D,556364.0,695977.0,Atlanta United FC,Eastern,TAM,Luis Abram
2023,ATL,Almada,Thiago,M-F,1650000.0,2332000.0,Atlanta United FC,Eastern,DP,Thiago Almada
2023,ATL,Alonso,Osvaldo,D-M,88200.0,88200.0,Atlanta United FC,Eastern,Senior,Osvaldo Alonso
2023,ATL,Barco,Esequiel,M,2200000.0,2200000.0,Atlanta United FC,Eastern,DP,Esequiel Barco
2023,ATL,Berry,Miguel,F,135000.0,135000.0,Atlanta United FC,Eastern,Senior,Miguel Berry
2023,ATL,Centeno,Erik,D,67360.0,79136.0,Atlanta United FC,Eastern,Reserve,Erik Centeno
2023,ATL,Chol,Machop,M,89716.0,89716.0,Atlanta United FC,Eastern,Senior,Machop Chol
2023,ATL,Cobb,Noah,D,67360.0,67360.0,Atlanta United FC,Eastern,Reserve,Noah Cobb
2023,ATL,Conway,Jackson,F,89716.0,89716.0,Atlanta United FC,Eastern,Senior,Jackson Conway
2023,ATL,Diop,Clément,GK,85444.0,85444.0,Atlanta United FC,Eastern,Senior,Clément Diop
2023,ATL,Etienne Jr.,Derrick,M,676250.0,676250.0,Atlanta United FC,Eastern,TAM,Derrick Etienne Jr.
2023,ATL,Fortune,Ajani,M,67360.0,67360.0,Atlanta United FC,Eastern,Reserve,Ajani Fortune
2023,ATL,Garces,Justin,GK,68775.0,68775.0,Atlanta United FC,Eastern,Reserve,Justin Garces
2023,ATL,Giakoumakis,Georgios,F,1576636.0,2160453.0,Atlanta United FC,Eastern,DP,Georgios Giakoumakis
2023,ATL,Guzan,Brad,GK,600000.0,612500.0,Atlanta United FC,Eastern,Senior,Brad Guzan
2023,ATL,Hernández,Ronald,D,375000.0,375000.0,Atlanta United FC,Eastern,Senior,Ronald Hernández
2023,ATL,Ibarra,Franco,D-M,550000.0,620000.0,Atlanta United FC,Eastern,Senior,Franco Ibarra
2023,ATL,Lennon,Brooks,D,700000.0,700000.0,Atlanta United FC,Eastern,TAM,Brooks Lennon
2023,ATL,Lobjanidze,Saba,M,2052000.0,2150750.0,Atlanta United FC,Eastern,DP,Saba Lobjanidze
2023,ATL,McFadden,Aiden,D,85444.0,85444.0,Atlanta United FC,Eastern,Senior,Aiden McFadden
2023,ATL,Morales,Efraín,D,85444.0,85444.0,Atlanta United FC,Eastern,Senior,Efraín Morales
2023,ATL,Mosquera,Edwin,M,375000.0,412000.0,Atlanta United FC,Eastern,Senior,Edwin Mosquera
2023,ATL,Muyumba,Tristan,D-M,450000.0,491600.0,Atlanta United FC,Eastern,Senior,Tristan Muyumba
2023,ATL,Purata,Juan José,D,400000.0,483500.0,Atlanta United FC,Eastern,Senior,Juan José Purata
2023,ATL,Robinson,Miles,D,1400000.0,1437500.0,Atlanta United FC,Eastern,TAM,Miles Robinson
