Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,xG,xAG,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",npxG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Tot,Prg,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,Tkl,TklW,Tkl,Tkl,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,TO,Fld,Fld,Def,Def,GCA,GCA90,TO,TO,Fld,Fld,Def,Def,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Launch%,Avg,Avg,Avg,Launch%,Launch%,Avg,Avg,Avg,Opp,Stp,Stp%,#OPA,#OPA/90,Avg,Avg,Avg
Liel Abada,il ISR,FW,Charlotte,22,2001,24,20,1637,18.2,0.38,0.05,0.44,0.38,0.0,0.0,0.11,0.0,0.34,0.34,0.16,0.51,4.4,3.46,8.57,0.38,0.05,0.44,0.38,0.44,0.34,0.16,0.5,0.34,0.5,Matches,2024,18.2,18.1,10.0,6.43,0.88,25.5,12.6,8.68,2.42,71.0,79.5,74.1,36.4,267.7,86.6,18.1,10.0,6.43,0.88,25.5,12.6,8.68,2.42,71.0,79.5,74.1,36.4,18.1,10.0,6.43,0.88,25.5,12.6,8.68,2.42,71.0,79.5,74.1,36.4,18.1,10.0,6.43,0.88,25.5,12.6,8.68,2.42,71.0,79.5,74.1,36.4,0.05,0.2,-0.11,1.54,1.37,1.54,0.27,0.38,2.91,1.54,52.8,2.91,1.54,0.13,0.25,16.5,0.0,0.0,0.0,0.12,0.04,0.04,35.2,0.22,3.02,10.7,22.3,5.16,35.2,1.15,41.2,1.54,54.9,24.2,2.2,1.87,1.87,26.4,0.55,0.27,0.44,0.55,0.27,31.3,0.6,0.55,0.55,0.27,0.82,0.22,0.0,3.3,3.3,0.27,0.05,0.11,0.0,0.0,0.0,0.22,0.22,0.27,0.05,0.11,0.0,0.0,0.0,0.0,0.49,0.6,0.71,2.36,0.27,0.44,0.0,0.0,0.0,3.74,0.11,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Casas de Abadal,us USA,"FW,DF",Inter Miami,23,2000,2,0,31,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,0.3,76.7,30.0,40.0,3.33,100.0,40.0,43.3,6.67,76.7,75.0,92.3,50.0,1206.7,380.0,76.7,30.0,40.0,3.33,100.0,40.0,43.3,6.67,76.7,75.0,92.3,50.0,76.7,30.0,40.0,3.33,100.0,40.0,43.3,6.67,76.7,75.0,92.3,50.0,76.7,30.0,40.0,3.33,100.0,40.0,43.3,6.67,76.7,75.0,92.3,50.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,110.0,0.0,13.3,66.7,33.3,0.0,110.0,3.33,100.0,0.0,0.0,63.3,0.0,0.0,0.0,83.3,6.67,0.0,3.33,6.67,0.0,0.0,3.33,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.33,0.0,3.33,0.0,3.33,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Abram,pe PER,DF,Atlanta Utd,27,1996,19,11,1102,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.06,0.06,0.01,0.07,0.16,2.87,0.25,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,2024,12.2,49.1,14.3,28.2,6.23,55.1,15.1,30.6,8.85,89.1,95.1,92.2,70.4,1003.8,410.2,49.1,14.3,28.2,6.23,55.1,15.1,30.6,8.85,89.1,95.1,92.2,70.4,49.1,14.3,28.2,6.23,55.1,15.1,30.6,8.85,89.1,95.1,92.2,70.4,49.1,14.3,28.2,6.23,55.1,15.1,30.6,8.85,89.1,95.1,92.2,70.4,0.0,0.01,-0.01,0.25,2.46,0.08,0.08,0.0,0.66,0.08,12.5,0.65,0.08,0.0,0.0,9.4,0.0,0.0,0.0,0.09,-0.06,-0.06,63.7,9.34,35.1,26.6,2.46,1.56,63.7,0.16,66.7,0.08,33.3,35.1,0.0,0.25,0.08,44.5,0.66,0.25,0.41,0.66,0.25,37.5,0.41,0.9,0.16,0.74,1.39,4.1,0.08,0.98,0.98,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.41,0.16,0.0,0.16,0.74,0.41,0.0,0.0,0.0,3.44,1.39,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,1994,18,15,1278,14.2,0.0,0.07,0.07,0.0,0.0,0.0,0.21,0.0,0.03,0.03,0.01,0.04,0.14,2.89,0.07,0.0,0.07,0.07,0.0,0.07,0.03,0.01,0.04,0.03,0.04,Matches,2024,14.2,43.0,15.7,24.0,2.96,47.7,16.9,26.1,4.23,90.1,92.9,92.2,70.0,774.6,245.1,43.0,15.7,24.0,2.96,47.7,16.9,26.1,4.23,90.1,92.9,92.2,70.0,43.0,15.7,24.0,2.96,47.7,16.9,26.1,4.23,90.1,92.9,92.2,70.0,43.0,15.7,24.0,2.96,47.7,16.9,26.1,4.23,90.1,92.9,92.2,70.0,0.07,0.01,0.06,0.14,2.04,0.0,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.0,,7.6,0.0,0.0,0.0,0.07,-0.03,-0.03,57.1,6.27,27.7,28.2,1.55,0.99,57.1,0.0,,0.0,,32.3,0.0,0.28,0.0,38.4,0.77,0.42,0.56,0.77,0.42,54.5,0.35,1.06,0.07,1.34,2.11,4.23,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.14,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.85,0.35,0.0,0.0,1.34,0.56,0.0,0.07,0.07,2.61,2.46,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellyn Acosta,us USA,MF,Chicago Fire,28,1995,34,27,2302,25.6,0.12,0.08,0.2,0.12,0.0,0.0,0.23,0.0,0.04,0.04,0.11,0.15,0.82,4.65,1.76,0.12,0.08,0.2,0.12,0.2,0.04,0.11,0.15,0.04,0.15,Matches,2024,25.6,41.3,18.9,18.1,3.55,51.7,21.6,20.5,7.58,79.9,87.7,88.4,46.9,724.3,195.5,41.3,18.9,18.1,3.55,51.7,21.6,20.5,7.58,79.9,87.7,88.4,46.9,41.3,18.9,18.1,3.55,51.7,21.6,20.5,7.58,79.9,87.7,88.4,46.9,41.3,18.9,18.1,3.55,51.7,21.6,20.5,7.58,79.9,87.7,88.4,46.9,0.08,0.11,-0.03,1.13,3.79,0.9,0.16,0.12,0.9,0.27,30.4,0.9,0.27,0.13,0.43,26.3,0.12,0.0,0.0,0.05,0.07,0.07,59.8,0.66,10.7,34.6,14.8,0.55,59.8,0.63,50.0,0.59,46.9,33.4,0.12,1.17,0.74,41.3,1.84,0.7,1.33,1.84,0.7,36.7,1.21,0.78,0.66,1.17,3.01,0.47,0.04,2.58,2.58,0.12,0.0,0.04,0.0,0.04,0.0,0.16,0.16,0.12,0.0,0.04,0.0,0.04,0.0,0.0,1.56,0.66,0.0,3.44,1.17,1.33,0.0,0.0,0.0,5.27,0.47,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luciano Acosta,ar ARG,MF,FC Cincinnati,29,1994,32,29,2704,30.0,0.47,0.53,1.0,0.37,0.1,0.13,0.23,0.0,0.33,0.22,0.39,0.61,4.03,8.33,7.9,0.47,0.53,1.0,0.37,0.9,0.33,0.39,0.72,0.22,0.61,Matches,2024,30.0,40.5,21.8,13.1,4.4,55.3,26.3,16.7,8.0,73.3,82.7,78.3,55.0,685.3,242.3,40.5,21.8,13.1,4.4,55.3,26.3,16.7,8.0,73.3,82.7,78.3,55.0,40.5,21.8,13.1,4.4,55.3,26.3,16.7,8.0,73.3,82.7,78.3,55.0,40.5,21.8,13.1,4.4,55.3,26.3,16.7,8.0,73.3,82.7,78.3,55.0,0.53,0.44,0.14,3.63,5.07,3.5,0.4,0.47,2.67,0.8,30.0,2.66,0.8,0.14,0.46,21.4,0.4,0.1,0.13,0.08,0.14,0.14,69.3,0.27,3.67,29.1,37.4,5.0,69.2,2.87,40.4,4.0,56.3,43.0,1.8,2.6,1.73,50.9,1.3,0.6,0.83,1.3,0.6,51.4,0.57,0.9,0.87,0.47,1.77,0.17,0.0,7.47,7.46,0.87,0.23,0.23,0.03,0.1,0.0,0.97,0.97,0.87,0.23,0.23,0.03,0.1,0.0,0.0,1.57,1.67,0.77,5.23,0.47,0.83,0.03,0.0,0.0,4.0,0.3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Adebayo-Smith,ng NGA,"FW,MF",Minnesota Utd,24,2000,11,1,254,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.14,0.14,0.0,0.14,1.07,1.07,5.36,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,Matches,2024,2.8,12.1,7.86,3.21,0.0,18.6,10.7,5.0,0.0,65.4,73.3,64.3,,148.2,16.8,12.1,7.86,3.21,0.0,18.6,10.7,5.0,0.0,65.4,73.3,64.3,,12.1,7.86,3.21,0.0,18.6,10.7,5.0,0.0,65.4,73.3,64.3,,12.1,7.86,3.21,0.0,18.6,10.7,5.0,0.0,65.4,73.3,64.3,,0.0,0.04,0.0,0.36,1.07,0.36,0.0,0.0,1.79,1.07,60.0,1.77,1.06,0.0,0.0,14.3,0.0,0.0,0.0,0.08,-0.14,-0.14,28.6,0.0,2.86,13.2,12.9,2.14,28.6,0.36,33.3,0.71,66.7,13.2,0.71,2.14,0.0,17.9,1.79,0.0,1.07,1.79,0.0,0.0,0.71,1.43,1.43,0.71,2.5,0.36,0.0,1.43,1.42,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.35,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.36,0.36,1.07,0.71,1.07,0.0,0.0,0.0,1.79,1.79,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Adekugbe,ca CAN,"DF,MF",Vancouver W'caps,29,1995,16,8,751,8.3,0.12,0.24,0.36,0.12,0.0,0.0,0.48,0.0,0.08,0.08,0.39,0.47,3.73,4.7,11.3,0.12,0.24,0.36,0.12,0.36,0.08,0.38,0.46,0.08,0.46,Matches,2024,8.3,48.0,24.3,20.5,2.17,58.1,26.9,24.3,4.34,82.6,90.6,84.2,50.0,763.4,228.2,48.0,24.3,20.5,2.17,58.1,26.9,24.3,4.34,82.6,90.6,84.2,50.0,48.0,24.3,20.5,2.17,58.1,26.9,24.3,4.34,82.6,90.6,84.2,50.0,48.0,24.3,20.5,2.17,58.1,26.9,24.3,4.34,82.6,90.6,84.2,50.0,0.24,0.33,-0.14,1.69,2.89,2.29,1.08,0.12,1.08,0.36,33.3,1.08,0.36,0.11,0.33,13.3,0.0,0.0,0.0,0.08,0.04,0.04,66.5,2.41,8.55,31.7,26.4,3.13,66.5,0.36,42.9,0.12,14.3,43.0,0.48,1.81,0.12,53.7,0.6,0.36,0.24,0.6,0.36,60.0,0.24,0.6,0.24,0.6,1.2,2.29,0.0,2.53,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.6,0.24,4.82,0.6,0.24,0.0,0.0,0.0,3.86,1.57,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Adeniran,us USA,FW,Philadelphia Union,25,1998,7,0,137,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.0,1.0,4.67,2.67,6.67,0.0,0.0,0.0,0.0,0.0,0.95,0.03,0.98,0.95,0.98,Matches,2024,1.5,14.0,8.0,4.67,1.33,22.7,12.0,8.0,1.33,61.8,66.7,58.3,100.0,243.3,77.3,14.0,8.0,4.67,1.33,22.7,12.0,8.0,1.33,61.8,66.7,58.3,100.0,14.0,8.0,4.67,1.33,22.7,12.0,8.0,1.33,61.8,66.7,58.3,100.0,14.0,8.0,4.67,1.33,22.7,12.0,8.0,1.33,61.8,66.7,58.3,100.0,0.0,0.07,0.0,0.67,0.67,1.33,0.0,0.0,6.67,3.33,50.0,6.57,3.28,0.0,0.0,14.8,0.0,0.0,0.0,0.15,-0.93,-0.93,44.0,0.0,3.33,17.3,25.3,8.67,44.0,0.67,25.0,2.0,75.0,26.0,2.67,2.67,2.0,28.0,4.0,2.0,2.67,4.0,2.0,100.0,0.0,0.67,0.67,2.0,6.0,0.0,0.0,3.33,3.28,0.67,0.0,0.0,0.0,0.0,0.0,0.67,0.66,0.67,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,0.0,2.0,2.0,2.67,0.0,0.0,0.0,6.0,2.67,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Adeniran,us USA,"FW,MF",St. Louis,25,1998,17,4,596,6.6,0.3,0.15,0.45,0.3,0.0,0.0,0.3,0.0,0.33,0.33,0.12,0.45,2.42,1.36,7.73,0.3,0.15,0.45,0.3,0.45,0.34,0.12,0.45,0.34,0.45,Matches,2024,6.6,13.5,7.58,4.24,0.76,18.9,9.85,6.21,1.21,71.2,76.9,68.3,62.5,189.4,32.7,13.5,7.58,4.24,0.76,18.9,9.85,6.21,1.21,71.2,76.9,68.3,62.5,13.5,7.58,4.24,0.76,18.9,9.85,6.21,1.21,71.2,76.9,68.3,62.5,13.5,7.58,4.24,0.76,18.9,9.85,6.21,1.21,71.2,76.9,68.3,62.5,0.15,0.09,0.03,1.21,1.21,0.76,0.15,0.3,3.94,0.91,23.1,3.93,0.91,0.08,0.33,16.6,0.0,0.0,0.0,0.09,-0.03,-0.03,33.6,0.91,2.27,11.5,20.5,5.91,33.6,0.91,35.3,1.36,52.9,19.7,1.52,4.39,1.67,24.7,0.45,0.0,0.15,0.45,0.0,,0.0,0.45,0.3,0.3,0.76,0.91,0.0,1.82,1.81,0.3,0.15,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.15,0.0,0.0,0.0,0.0,0.0,1.82,0.45,0.45,0.61,0.3,0.15,0.0,0.0,0.0,2.12,3.03,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
