Player,Nation,Pos,Squad,Age,Born,Matches Played,Game or games started by player,Minutes,90s Played90s played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",PrgC,PrgP,PrgR,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutes,xG,xAG,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",npxG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader.1",Matches,Season,90s,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Tot,Prg,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Cmp,Cmp,Cmp,Cmp,Att,Att,Att,Att,Cmp%,Cmp%,Cmp%,Cmp%,Ast,xA,Assists - xAGAssists minus Expected Goals Assisted,KP,1/3,PPA,CrsPA,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Shot,"Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Tkl,Tkl,TklW,Tkl,Tkl,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,TO,TO,Fld,Fld,Def,Def,GCA,GCA90,TO,TO,Fld,Fld,Def,Def,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Won,Won%,GA,PKA,CK,OG,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote,Att (GK),Thr,Launch%,Launch%,Avg,Avg,Avg,Launch%,Launch%,Avg,Avg,Avg,Opp,Stp,Stp%,#OPA,#OPA/90,Avg,Avg,Avg
Luis Abram,pe PER,DF,Atlanta Utd,26,1996,22,16,1456,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.0,0.01,0.31,1.79,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,2023,16.2,49.1,15.4,28.3,5.06,56.0,16.7,30.3,8.21,87.8,92.3,93.5,61.7,965.8,363.2,49.1,15.4,28.3,5.06,56.0,16.7,30.3,8.21,87.8,92.3,93.5,61.7,49.1,15.4,28.3,5.06,56.0,16.7,30.3,8.21,87.8,92.3,93.5,61.7,49.1,15.4,28.3,5.06,56.0,16.7,30.3,8.21,87.8,92.3,93.5,61.7,0.0,0.01,0.0,0.06,1.23,0.06,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,,10.1,0.0,0.0,0.0,0.04,-0.01,-0.01,63.5,9.2,40.9,21.8,1.11,0.43,63.5,0.0,0.0,0.0,0.0,40.4,0.0,0.19,0.06,45.0,0.74,0.49,0.56,0.74,0.49,61.5,0.31,1.48,0.8,0.99,1.73,3.21,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.31,0.06,0.06,0.99,0.56,0.0,0.06,0.0,4.38,1.17,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,26,23,1920,21.3,0.09,0.0,0.09,0.09,0.0,0.0,0.42,0.05,0.04,0.04,0.01,0.05,0.23,2.35,0.14,0.09,0.0,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches,2023,21.3,44.7,18.5,22.6,3.0,52.1,20.3,24.7,5.73,85.8,91.4,91.4,52.5,783.3,267.2,44.7,18.5,22.6,3.0,52.1,20.3,24.7,5.73,85.8,91.4,91.4,52.5,44.7,18.5,22.6,3.0,52.1,20.3,24.7,5.73,85.8,91.4,91.4,52.5,44.7,18.5,22.6,3.0,52.1,20.3,24.7,5.73,85.8,91.4,91.4,52.5,0.0,0.03,-0.01,0.14,2.25,0.05,0.05,0.09,0.38,0.23,62.5,0.37,0.23,0.25,0.4,11.0,0.0,0.0,0.0,0.1,0.06,0.06,60.5,5.68,30.5,27.8,2.49,1.13,60.5,0.19,80.0,0.05,20.0,33.4,0.09,0.33,0.0,40.4,1.03,0.61,0.52,1.03,0.61,72.2,0.23,1.08,0.28,1.6,2.63,2.86,0.09,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.5,0.33,0.09,0.09,1.6,0.52,0.0,0.0,0.0,4.13,1.6,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,20,9,853,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.03,0.03,0.04,0.07,2.21,2.53,3.58,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,2023,9.5,33.8,17.3,14.3,2.0,45.9,19.6,18.6,5.16,73.6,88.2,76.8,38.8,551.7,192.3,33.8,17.3,14.3,2.0,45.9,19.6,18.6,5.16,73.6,88.2,76.8,38.8,33.8,17.3,14.3,2.0,45.9,19.6,18.6,5.16,73.6,88.2,76.8,38.8,33.8,17.3,14.3,2.0,45.9,19.6,18.6,5.16,73.6,88.2,76.8,38.8,0.0,0.04,-0.04,0.74,2.63,0.74,0.42,0.0,0.32,0.0,0.0,0.32,0.0,0.0,,14.1,0.0,0.0,0.0,0.11,-0.03,-0.03,59.8,5.47,20.7,25.8,13.7,0.95,59.8,0.63,40.0,0.84,53.3,29.1,0.11,1.58,0.21,30.7,3.05,1.16,2.11,3.05,1.16,45.8,1.37,2.21,1.37,1.58,4.63,3.58,0.0,1.47,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.74,0.0,3.47,1.58,2.11,0.0,0.0,0.0,5.37,1.05,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,14,13,1117,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.07,0.07,0.22,0.29,0.89,4.27,1.94,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,Matches,2023,12.4,33.6,10.2,15.2,7.74,43.0,11.6,17.2,12.6,78.2,88.2,88.7,61.5,764.1,222.3,33.6,10.2,15.2,7.74,43.0,11.6,17.2,12.6,78.2,88.2,88.7,61.5,33.6,10.2,15.2,7.74,43.0,11.6,17.2,12.6,78.2,88.2,88.7,61.5,33.6,10.2,15.2,7.74,43.0,11.6,17.2,12.6,78.2,88.2,88.7,61.5,0.0,0.14,-0.22,2.02,4.6,0.56,0.08,0.0,1.13,0.4,35.7,1.13,0.4,0.0,0.0,22.1,0.0,0.0,0.0,0.06,-0.07,-0.07,51.2,2.34,11.2,29.2,11.5,0.81,51.2,0.73,81.8,0.08,9.1,26.5,0.24,0.97,0.65,31.3,1.77,0.48,1.21,1.77,0.48,37.5,0.81,1.37,0.97,0.56,2.34,1.13,0.08,3.23,3.23,0.32,0.08,0.08,0.0,0.08,0.0,0.16,0.16,0.32,0.08,0.08,0.0,0.08,0.0,0.0,2.02,0.4,0.24,3.95,0.56,1.21,0.0,0.0,0.0,5.32,1.21,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,7,5,458,5.1,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.18,0.18,0.0,3.73,0.59,0.0,0.2,0.2,0.0,0.2,0.0,0.17,0.18,0.0,0.18,Matches,2023,5.1,37.6,13.1,18.2,5.69,43.5,14.3,20.2,7.25,86.5,91.8,90.3,78.4,729.2,182.2,37.6,13.1,18.2,5.69,43.5,14.3,20.2,7.25,86.5,91.8,90.3,78.4,37.6,13.1,18.2,5.69,43.5,14.3,20.2,7.25,86.5,91.8,90.3,78.4,37.6,13.1,18.2,5.69,43.5,14.3,20.2,7.25,86.5,91.8,90.3,78.4,0.2,0.14,0.02,0.59,5.29,0.39,0.0,0.0,0.39,0.0,0.0,0.39,0.0,0.0,,32.4,0.0,0.0,0.0,0.01,0.0,0.0,52.2,2.16,11.6,33.3,7.25,0.59,52.2,0.2,100.0,0.0,0.0,26.1,0.0,0.39,0.39,27.3,3.53,2.35,2.35,3.53,2.35,52.2,2.16,0.78,0.39,1.57,5.1,0.78,0.0,1.37,1.38,0.0,0.0,0.0,0.0,0.39,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.39,0.0,0.0,2.75,0.59,0.0,1.18,1.57,2.35,0.0,0.0,0.0,6.67,1.57,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellyn Acosta,us USA,MF,LAFC,27,1995,24,18,1498,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.04,0.04,0.07,0.1,0.54,3.49,1.45,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,0.1,Matches,2023,16.6,35.2,18.4,12.2,3.49,43.3,20.2,14.7,6.69,81.2,91.0,83.2,52.3,578.7,186.3,35.2,18.4,12.2,3.49,43.3,20.2,14.7,6.69,81.2,91.0,83.2,52.3,35.2,18.4,12.2,3.49,43.3,20.2,14.7,6.69,81.2,91.0,83.2,52.3,35.2,18.4,12.2,3.49,43.3,20.2,14.7,6.69,81.2,91.0,83.2,52.3,0.0,0.09,-0.07,1.02,4.16,0.12,0.0,0.0,0.84,0.24,28.6,0.84,0.24,0.0,0.0,24.6,0.24,0.0,0.0,0.05,-0.04,-0.04,51.1,0.96,8.73,29.5,13.5,0.18,51.1,0.42,58.3,0.24,33.3,25.8,0.0,0.78,0.42,32.5,2.05,1.02,1.2,2.05,1.02,51.5,0.96,1.33,1.2,1.08,3.13,0.66,0.0,2.23,2.22,0.06,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.06,0.0,0.12,0.0,0.0,0.0,0.0,1.51,0.78,0.0,3.49,1.08,1.2,0.0,0.0,0.0,6.02,0.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,32,29,2605,28.9,0.59,0.35,0.93,0.35,0.24,0.28,0.24,0.0,0.45,0.23,0.35,0.58,4.01,7.54,7.82,0.59,0.35,0.93,0.35,0.69,0.44,0.35,0.8,0.23,0.58,Matches,2023,28.9,36.1,19.2,11.2,4.05,51.0,22.8,15.7,8.27,70.8,84.2,71.2,49.0,598.4,226.9,36.1,19.2,11.2,4.05,51.0,22.8,15.7,8.27,70.8,84.2,71.2,49.0,36.1,19.2,11.2,4.05,51.0,22.8,15.7,8.27,70.8,84.2,71.2,49.0,36.1,19.2,11.2,4.05,51.0,22.8,15.7,8.27,70.8,84.2,71.2,49.0,0.35,0.35,-0.01,3.36,4.67,2.91,0.21,0.59,2.6,1.07,41.3,2.59,1.07,0.13,0.32,22.5,0.35,0.24,0.28,0.09,0.14,0.12,65.1,0.21,4.64,29.4,31.9,4.67,64.8,3.01,46.5,3.04,47.1,40.0,1.87,2.94,2.25,48.1,1.25,0.45,0.66,1.25,0.45,31.7,0.97,0.76,0.73,0.62,1.87,0.1,0.03,7.09,7.08,0.76,0.14,0.55,0.1,0.1,0.03,1.0,1.0,0.76,0.14,0.55,0.1,0.1,0.03,0.0,1.66,2.11,0.17,4.19,0.62,0.66,0.03,0.0,0.0,4.71,0.1,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Adekugbe,ca CAN,"FW,DF",Vancouver W'caps,28,1995,10,4,409,4.5,0.0,0.22,0.22,0.0,0.0,0.0,0.44,0.0,0.04,0.04,0.18,0.2,1.56,3.78,7.78,0.0,0.22,0.22,0.0,0.22,0.03,0.18,0.21,0.03,0.21,Matches,2023,4.5,45.6,28.9,14.0,2.44,55.1,31.1,17.1,4.89,82.7,92.9,81.8,50.0,656.2,183.1,45.6,28.9,14.0,2.44,55.1,31.1,17.1,4.89,82.7,92.9,81.8,50.0,45.6,28.9,14.0,2.44,55.1,31.1,17.1,4.89,82.7,92.9,81.8,50.0,45.6,28.9,14.0,2.44,55.1,31.1,17.1,4.89,82.7,92.9,81.8,50.0,0.22,0.18,0.04,1.33,4.0,2.44,1.11,0.0,0.44,0.0,0.0,0.44,0.0,0.0,,17.6,0.22,0.0,0.0,0.08,-0.04,-0.04,63.3,2.67,13.8,28.4,21.6,1.11,63.3,0.89,66.7,0.44,33.3,40.0,0.44,1.56,0.22,45.8,0.89,0.22,0.67,0.89,0.22,33.3,0.44,0.89,0.67,1.56,2.44,2.22,0.0,2.22,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.44,0.0,3.56,1.56,0.67,0.0,0.0,0.0,5.11,0.89,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Adeniran,us USA,FW,St. Louis,24,1998,18,11,949,10.5,0.76,0.1,0.86,0.67,0.1,0.1,0.29,0.1,0.37,0.3,0.12,0.42,3.05,1.14,4.38,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42,Matches,2023,10.5,8.67,4.29,2.38,1.05,15.5,7.62,3.9,1.52,55.8,56.3,61.0,68.8,135.8,25.7,8.67,4.29,2.38,1.05,15.5,7.62,3.9,1.52,55.8,56.3,61.0,68.8,8.67,4.29,2.38,1.05,15.5,7.62,3.9,1.52,55.8,56.3,61.0,68.8,8.67,4.29,2.38,1.05,15.5,7.62,3.9,1.52,55.8,56.3,61.0,68.8,0.1,0.06,-0.03,0.48,0.57,0.57,0.19,0.76,3.24,1.14,35.3,3.22,1.14,0.21,0.58,16.7,0.0,0.1,0.1,0.09,0.39,0.37,29.0,1.14,2.29,9.81,17.7,5.14,29.0,1.33,48.3,1.43,51.7,16.0,1.52,3.62,0.95,19.7,0.67,0.29,0.38,0.67,0.29,50.0,0.29,0.57,0.57,0.29,0.95,0.76,0.0,1.81,1.8,0.29,0.0,0.0,0.0,0.1,0.1,0.19,0.19,0.29,0.0,0.0,0.0,0.1,0.1,0.1,1.14,0.19,0.67,1.43,0.29,0.38,0.0,0.1,0.0,1.62,3.71,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Afful,gh GHA,DF,Charlotte,36,1986,15,11,951,10.6,0.0,0.09,0.09,0.0,0.0,0.0,0.28,0.0,0.02,0.02,0.07,0.08,1.32,4.72,1.04,0.0,0.09,0.09,0.0,0.09,0.02,0.06,0.08,0.02,0.08,Matches,2023,10.6,54.2,25.0,24.1,4.34,64.0,26.6,27.0,8.21,84.7,94.0,89.2,52.9,935.7,292.7,54.2,25.0,24.1,4.34,64.0,26.6,27.0,8.21,84.7,94.0,89.2,52.9,54.2,25.0,24.1,4.34,64.0,26.6,27.0,8.21,84.7,94.0,89.2,52.9,54.2,25.0,24.1,4.34,64.0,26.6,27.0,8.21,84.7,94.0,89.2,52.9,0.09,0.04,0.03,0.57,3.68,0.66,0.19,0.0,0.38,0.09,25.0,0.38,0.09,0.0,0.0,24.4,0.0,0.0,0.0,0.04,-0.02,-0.02,72.7,4.72,22.6,39.9,10.9,0.38,72.7,1.04,68.8,0.28,18.8,33.0,0.0,1.13,0.66,43.3,1.04,0.66,0.66,1.04,0.66,36.8,1.13,0.94,0.75,2.08,3.11,2.45,0.09,2.26,2.27,0.19,0.19,0.0,0.0,0.0,0.0,0.66,0.66,0.19,0.19,0.0,0.0,0.0,0.0,0.0,1.23,0.38,0.0,0.66,2.08,0.66,0.0,0.0,0.0,8.68,1.04,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
